review_text,review_rating
tempat nya keren buat casting jigging ikan nya berlimpah,5
lokasi yg pas buat para anglerapalagi yg masih pemulamau mancing siang atau malam tempatnya lumayan nyamanikannya lumayan banyakapalagi kalau pas musim ikan layur sama cakalang cuma sayang kondisi toilet kurang nyaman,4
htm murah spotnya bagus ikan banyak wisata spot terbaik utk angler,5
karna ke indahaannya,5
bagus,4
cocok kalo buat para anglercuma kurangnya kondisi toilet,5
mantap,3
spot mancing yang mantap,5
tempat yg bagus sekali untuk berenang dilaut lepas cocok untuk kawula muda yang haus tantangan tiket masuk sangat murah meriah dan suasananya sangat enak sekali bisa mancing bagi penggemar pancing,5
